"Day ","Items ","Note ","Amount "
"81","Retail","Revenue - Retail Sales Detroit - Red Wine","114969"
"81","Retail","Revenue - Retail Sales Detroit - White Wine","77605"
"81","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","45360"
"81","Retail","Revenue - Retail Sales Chicago - Red Wine","46200"
"81","Retail","Revenue - Retail Sales Chicago - White Wine","56814"
"81","Retail","Revenue - Retail Sales Miami - Sparkling Wine","21956"
"81","Retail","Revenue - Retail Sales Miami - Red Wine","24885"
"81","Retail","Revenue - Retail Sales Miami - White Wine","28616"
"81","Rental Expense","Cash Payment - Rental - New York","-4020"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"81","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"81","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"81","Rental Expense","Cash Payment - Rental - Miami","-1120"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13481 ","-26640"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13481 ","-124320"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13481 ","-296000"
"80","Human Resource Expense","Counselled","-2000"
"80","Salary Expense","Cash Payment - Salary Expense","-29642"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12657","-263"
"80","Retail","Revenue - Retail Sales New York - Sparkling Wine","121408"
"80","Retail","Revenue - Retail Sales New York - Red Wine","211482"
"80","Retail","Revenue - Retail Sales New York - White Wine","116205"
"80","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","61152"
"80","Retail","Revenue - Retail Sales Detroit - Red Wine","113601"
"80","Retail","Revenue - Retail Sales Detroit - White Wine","69190"
"80","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","45225"
"80","Retail","Revenue - Retail Sales Chicago - Red Wine","51700"
"80","Retail","Revenue - Retail Sales Chicago - White Wine","54570"
"80","Retail","Revenue - Retail Sales Miami - Sparkling Wine","21340"
"80","Retail","Revenue - Retail Sales Miami - Red Wine","25920"
"80","Retail","Revenue - Retail Sales Miami - White Wine","28224"
"80","Rental Expense","Cash Payment - Rental - New York","-4020"
"80","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"80","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"80","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"80","Rental Expense","Cash Payment - Rental - Miami","-1120"
"79","Sales E Commerce","Revenue - ECM SO ID: 12450","18083"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13293 ","-15300"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13293 ","-19040"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13293 ","-19380"
"79","Salary Expense","Cash Payment - Salary Expense","-29554"
"79","Retail","Revenue - Retail Sales New York - Sparkling Wine","116536"
"79","Retail","Revenue - Retail Sales New York - Red Wine","200198"
"79","Retail","Revenue - Retail Sales New York - White Wine","129320"
"79","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","58688"
"79","Retail","Revenue - Retail Sales Detroit - Red Wine","108984"
"79","Retail","Revenue - Retail Sales Detroit - White Wine","69795"
"79","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","45360"
"79","Retail","Revenue - Retail Sales Chicago - Red Wine","50800"
"79","Retail","Revenue - Retail Sales Chicago - White Wine","57885"
"79","Retail","Revenue - Retail Sales Miami - Sparkling Wine","19668"
"79","Retail","Revenue - Retail Sales Miami - Red Wine","24660"
"79","Retail","Revenue - Retail Sales Miami - White Wine","24500"
"79","Rental Expense","Cash Payment - Rental - New York","-4020"
"79","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"79","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"79","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"79","Rental Expense","Cash Payment - Rental - Miami","-1120"
"78","Sales E Commerce","Revenue - ECM SO ID: 12357","18025"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12948 ","-59760"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12948 ","-139440"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12948 ","-199200"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12948 ","-99600"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12948 ","-332000"
"78","Wholesales (B2B)","Revenue - B2B SO ID: 12165","598000"
"78","Human Resource Expense","Counselled","-2000"
"78","Salary Expense","Cash Payment - Salary Expense","-29554"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12941","-180"
"78","Retail","Revenue - Retail Sales New York - Sparkling Wine","126280"
"78","Retail","Revenue - Retail Sales New York - Red Wine","198400"
"78","Retail","Revenue - Retail Sales New York - White Wine","125233"
"78","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","52864"
"78","Retail","Revenue - Retail Sales Detroit - Red Wine","107616"
"78","Retail","Revenue - Retail Sales Detroit - White Wine","73315"
"78","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","43965"
"78","Retail","Revenue - Retail Sales Chicago - Red Wine","48300"
"78","Retail","Revenue - Retail Sales Chicago - White Wine","50949"
"78","Retail","Revenue - Retail Sales Miami - Sparkling Wine","20064"
"78","Retail","Revenue - Retail Sales Miami - Red Wine","26190"
"78","Retail","Revenue - Retail Sales Miami - White Wine","26656"
"78","Rental Expense","Cash Payment - Rental - New York","-4020"
"78","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"78","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"78","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"78","Rental Expense","Cash Payment - Rental - Miami","-1120"
"77","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12573 ","-15000"
"77","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12573 ","-52020"
"77","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12573 ","-19380"
"77","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12635 ","-15000"
"77","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12635 ","-17340"
"77","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12635 ","-19380"
"77","Salary Expense","Cash Payment - Salary Expense","-29493"
"77","Retail","Revenue - Retail Sales New York - Sparkling Wine","17808"
"77","Retail","Revenue - Retail Sales New York - Red Wine","29078"
"77","Retail","Revenue - Retail Sales New York - White Wine","16592"
"77","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7728"
"77","Retail","Revenue - Retail Sales Detroit - Red Wine","14991"
"77","Retail","Revenue - Retail Sales Detroit - White Wine","10285"
"77","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6525"
"77","Retail","Revenue - Retail Sales Chicago - Red Wine","7300"
"77","Retail","Revenue - Retail Sales Chicago - White Wine","7650"
"77","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3168"
"77","Retail","Revenue - Retail Sales Miami - Red Wine","3960"
"77","Retail","Revenue - Retail Sales Miami - White Wine","3969"
"77","Services","Revenue - Service Sales Order ID: 11569","183500"
"77","Services","Revenue - Service Sales Order ID: 11599","221000"
"77","Rental Expense","Cash Payment - Rental - New York","-4020"
"77","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"77","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"77","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"77","Rental Expense","Cash Payment - Rental - Miami","-1120"
"76","Wholesales (B2B)","Revenue - B2B SO ID: 11983","264000"
"76","Human Resource Expense","Counselled","-2000"
"76","Salary Expense","Cash Payment - Salary Expense","-29493"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12450","-181"
"76","Retail","Revenue - Retail Sales New York - Sparkling Wine","17324"
"76","Retail","Revenue - Retail Sales New York - Red Wine","29580"
"76","Retail","Revenue - Retail Sales New York - White Wine","16055"
"76","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","8176"
"76","Retail","Revenue - Retail Sales Detroit - Red Wine","14193"
"76","Retail","Revenue - Retail Sales Detroit - White Wine","9955"
"76","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7020"
"76","Retail","Revenue - Retail Sales Chicago - Red Wine","6700"
"76","Retail","Revenue - Retail Sales Chicago - White Wine","8109"
"76","Retail","Revenue - Retail Sales Miami - Sparkling Wine","2772"
"76","Retail","Revenue - Retail Sales Miami - Red Wine","3431"
"76","Retail","Revenue - Retail Sales Miami - White Wine","3577"
"76","Rental Expense","Cash Payment - Rental - New York","-4020"
"76","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"76","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"76","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"76","Rental Expense","Cash Payment - Rental - Miami","-1120"
"75","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12186 ","-15000"
"75","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12186 ","-51000"
"75","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12186 ","-19380"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12381 ","-59760"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12381 ","-139440"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12381 ","-265600"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12381 ","-249000"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12381 ","-265600"
"75","Wholesales (B2B)","Revenue - B2B SO ID: 11591","253000"
"75","Human Resource Expense","Counselled","-2000"
"75","Salary Expense","Cash Payment - Salary Expense","-29493"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12357","-180"
"75","Retail","Revenue - Retail Sales New York - Sparkling Wine","18038"
"75","Retail","Revenue - Retail Sales New York - Red Wine","31720"
"75","Retail","Revenue - Retail Sales New York - White Wine","16182"
"75","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7579"
"75","Retail","Revenue - Retail Sales Detroit - Red Wine","14418"
"75","Retail","Revenue - Retail Sales Detroit - White Wine","9434"
"75","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7182"
"75","Retail","Revenue - Retail Sales Chicago - Red Wine","7849"
"75","Retail","Revenue - Retail Sales Chicago - White Wine","8448"
